date_capteur,date_satellite,days_diff,station_id,latitude,longitude,pH,oxygene_dissous,COD,CODMn,NH4N,TPH,DIP,DIN,quality_score,NDWI,chlorophyll_index,turbidity_index,is_interpolated
2018-07-09,2018-07-09,0,62,19.2720963,108.6903554,7.254901960784314,6.7919607843137255,0.86,2.0098039215686274,0.08901960784313726,0.014,0.008,0.145,10.0,-0.55647071942418,0.8760066619028852,86265.6862745098,True
2018-07-16,2018-07-16,0,62,19.2720963,108.6903554,7.256862745098039,6.792745098039216,0.86,2.0137254901960784,0.08862745098039215,0.014,0.008,0.145,10.0,-0.5597020733948759,0.8722747480272068,85101.96078431372,True
2018-07-23,2018-07-23,0,62,19.2720963,108.6903554,7.258823529411765,6.793529411764705,0.86,2.0176470588235293,0.08823529411764705,0.014,0.008,0.145,10.0,-0.5629334273655717,0.8685428341515287,83938.23529411765,True
2018-07-30,2018-07-30,0,62,19.2720963,108.6903554,7.26078431372549,6.794313725490196,0.86,2.0215686274509803,0.08784313725490196,0.014,0.008,0.145,10.0,-0.5661647813362676,0.8648109202758503,82774.50980392157,True
2018-08-06,2018-08-06,0,62,19.2720963,108.6903554,7.262745098039216,6.795098039215686,0.86,2.0254901960784313,0.08745098039215686,0.014,0.008,0.145,10.0,-0.5693961353069634,0.861079006400172,81610.7843137255,True
2018-08-13,2018-08-13,0,62,19.2720963,108.6903554,7.264705882352941,6.7958823529411765,0.86,2.0294117647058822,0.08705882352941177,0.014,0.008,0.145,10.0,-0.5726274892776592,0.8573470925244937,80447.05882352941,True
2018-08-20,2018-08-20,0,62,19.2720963,108.6903554,7.266666666666667,6.796666666666667,0.86,2.033333333333333,0.08666666666666667,0.014,0.008,0.145,10.0,-0.575858843248355,0.8536151786488153,79283.33333333333,True
2018-08-27,2018-08-27,0,62,19.2720963,108.6903554,7.268627450980392,6.797450980392156,0.86,2.037254901960784,0.08627450980392157,0.014,0.008,0.145,10.0,-0.5790901972190508,0.8498832647731371,78119.60784313726,True
2018-09-03,2018-09-03,0,62,19.2720963,108.6903554,7.270588235294118,6.798235294117647,0.86,2.041176470588235,0.08588235294117647,0.014,0.008,0.145,10.0,-0.5823215511897466,0.8461513508974587,76955.88235294117,True
2018-09-10,2018-09-10,0,62,19.2720963,108.6903554,7.272549019607843,6.799019607843137,0.86,2.045098039215686,0.08549019607843138,0.014,0.008,0.145,10.0,-0.5855529051604424,0.8424194370217805,75792.1568627451,True
2018-09-17,2018-09-17,0,62,19.2720963,108.6903554,7.2745098039215685,6.7998039215686275,0.86,2.049019607843137,0.08509803921568627,0.014,0.008,0.145,10.0,-0.5887842591311383,0.8386875231461022,74628.43137254902,True
2018-09-24,2018-09-24,0,62,19.2720963,108.6903554,7.276470588235294,6.800588235294117,0.86,2.052941176470588,0.08470588235294119,0.014,0.008,0.145,10.0,-0.5920156131018341,0.8349556092704238,73464.70588235294,True
2018-10-01,2018-10-01,0,62,19.2720963,108.6903554,7.2784313725490195,6.801372549019607,0.86,2.0568627450980395,0.08431372549019608,0.014,0.008,0.145,10.0,-0.5952469670725299,0.8312236953947455,72300.98039215687,True
2018-10-08,2018-10-08,0,62,19.2720963,108.6903554,7.280392156862745,6.802156862745098,0.86,2.0607843137254904,0.08392156862745098,0.014,0.008,0.145,10.0,-0.5984783210432257,0.8274917815190672,71137.25490196078,True
